,Unnamed: 0,recipe_name,preparation_time,min_portion,max_portion,ingredients,steps,ingredient_count,duration_level,complexity_score
10,19,Chupe de jaibas,35,6,8,"30 grs de mantequilla, 1 cebolla mediana cortada en cuadros pequeños, 1 ajo picado finamente, sal y pimienta a gusto, 1 taza de vino blanco, 1/2 kilo de carne de jaiba, 350 ml de leche líquida, 50 grs de mantequilla, 50 grs de harina sin polvos de hornear, una pizca de nuez moscada, 200 grs de queso mantecoso, ","1-en un sartén freír a fuego lento junto con la mantequilla (30 grs.) la cebolla. apróximadamente unos 8 minutos. luego agregar el ajo picado. agregar sal y pimienta. luego agregar el vino blanco dejar hervir uns minutos para posteriormente añadir la carne de jaiba. hervir a fuego lento hasta que reduzcan los jugos., 2-mientras tanto en una olla preparamos una salsa blanca derritiendo la mantequilla, luego agregar la harina de golpe, batir bien y cuando esta mezcla esté sin grumos se puede agregar la leche poco a poco, aliñar con sal , pimienta y nuez moscada., 3-luego agregamos la salsa blanca a la mezcla de jaiba, unir bien. luego se coloca en pocillos de greda o simplemente en una fuente que pueda ir al horno. colocarle trozos de queso mantecoso. llevar al horno a gratinar por unos 5 minutos., 4-*mi suegro le agregó unos huevos duros, pero esta parte es totalmente optativa.",12,duracion Media ,44.429590017825305
11,20,Chupe de locos,42,6,6,"4 locos grandes o 1 tarro de locos cocidos, 1 pan (puede ser 1 marraqueta o 3 láminas de pan de molde), 3/4 taza de leche líquida, 1 cucharada de aceite, 1 cebolla picada en cuadros, 1 trozo de pimentón rojo picado en cuadros, 3/4 taza de queso rallado, sal y pimienta a gusto, 1 cucharadita de mantequilla, perejil picado (opcional)","1-si ocupa locos crudos, debe cocinarlos en una olla con agua y sal, por 50 min., 2-una vez listos picarlos en cuadros. si ocupa locos en tarro, estos vienen listos para usar., 3-remojar el pan en la leche por unos 20 minutos. luego pasar por el colador., 4-en un sartén con aceite freír la cebolla picada por unos 4 minutos a fuego medio., 5-luego agregar el pimentón picado y cocinar unos 2 minutos más., 6-agregar los locos picados, pan remojado y un poco del caldo de la cocción o el caldo que viene en el tarro, 1/2 taza app., 7-luego añadir la mitad del queso, mantequilla, sazonar con sal y pimienta a gusto., 8-pasar la mezcla a un molde idealmente de greda o el que tenga., 9-luego poner el resto de queso encima y llevar al horno a gratinar., 10-si gusta pueden servir con perejil picado encima.",10,duracion Media ,43.31550802139037
12,21,Pan para sandwich,20,12,12,"1 taza de agua tibia (105°-115°f) (40°-46°c), 1 sobre de levadura seca en polvo\xa0 (7 grs)(2 1/4 de cucharadita), 1 taza de leche liquida tibia (105°-115°f) (40°-46°c), 2 cucharadas de mantequilla derretida, 2 cucharadas de azúcar granulada, 1 1/2 cucharaditas de sal, 5 1/2 a 6 tazas de harina, 1 yema de huevo con 1 cucharadita de agua","1-combinar 1/2 taza de agua tibia con la levadura y una pizca de azúcar granulada en un pequeño bol. revolver hasta disolver bien y dejar reposar unos 10 minutos., 2-en un bol grande colocar el agua restante, leche, mantequilla, azúcar y sal. luego agregar la mezcla de levadura, revolver un poco y agregar 2 tazas de harina y mezclar muy bien., 3-continuar revolviendo (puede ser con la ayuda de una mezcladora o una batidora eléctrica que traiga las piezas para amasar). hasta lograr incorporar bien la harina y lograr una mezcla cremosa, posteriormente ir incorporando de a 1/2 taza de harina., 4-cuando la masa ya no se pegue en el bol, se puede comenzar amasar unos minutos., 5-luego en otro bol engrasado con aceite o mantequilla, colocamos la masa allí en forma de bola y dejamos reposar la masa tapada con papel de plástico o un paño de cocina por una hora o hasta que doble su volumen la masa., 6-una vez listo, formamos los panes, podrían salir unos 8 unidades o más, todo depende del tamaño que deseen sus panes. pueden hacerlos más pequeños para hacer hamburguesas y en ese caso podrían salir hasta 12 unidades., 7-colocar el pan en la bandeja del horno cubierta con papel de mantequilla. dejamos reposar nuevamente el pan., 8-precalentar el horno a 400°f (200°c)., 9-justo antes de colocar el pan en el horno, pincelar cada pan con la mezcla de yema más agua., 10-hornear por unos 15 a 20 minutos.",8,duracion Rapida,27.985739750445635
13,23,Cocadas y confites,20,30,30,"2 paquetes de galletas bajas en azúcar e idealmente sabor a vainilla y sin crema, 1/2 tarro de manjar o 1/2 taza de dulce de leche, 1 1/4 taza de coco rallado, 1/2 taza de leche condensada, 1/2 taza de chocolate en polvo amargo, virutas de chocolate y de colores","1-moler los dos paquetes de galletas, idealmente utilizar el procesador de alimentos o la juguera., 2-para las cocadas unir la 1/2 taza de dulce de leche, 1 taza de coco rallado y 1 taza de galletas molidas. unir bien hasta lograr una buena consistencia., 3-formar bolitas pequeñas y pasarlas por el coco rallado restante., 4-para los confites mezclar la leche condensada con el chocolate en polvo amargo., 5-agregar el resto de las galletas en polvo. unir bien y formar bolitas, para luego pasarlas por virutas de chocolate y de colores.",6,duracion Rapida,23.440285204991085
14,24,Costillar de cerdo con puré picante,55,2,2,"1 costillar de cerdo (1 kilo app.), 1 cucharada de mostaza, 1 cucharadita de ajo en polvo, 1 taza de vino blanco, 1 cucharada de aceite de oliva, 2 cucharadas de salsa de tomate, 1 cucharadita de azúcar morena, sal y pimienta, 1 cucharadita de ají color o páprika, 1 cucharadita de tomillo fresco, 1 cucharadita de orégano, 1 kilo de papas, leche, sal, pimientas blanca, mantequilla, ají en pasta, merquén (optativo)","1-colocar el costillar en un recipiente y esparcir con la mano la cucharada de mostaza sobre éste., 2-en un pequeño bol mezclar el resto de los ingredientes (vino,aceite, salsa, azúcar, sal, pimienta, ají color, tomillo, orégano). verter sobre el costillar y tapar el recipiente con papel de plástico. dejar reposar en el refrigerador un par de horas. dar vuelta un par de veces para que se impregnen los sabores., 3-se puede cocinar directamente en una parrilla. también pueden hornearlo por unos 35 minutos a 400° f (200°c). deben dar vuelta el costillar y pintar con el lïquido de la marinada para que no se reseque., 4-mientras tanto hacemos un puré, cocemos las papas sin cáscara y cortadas en cuadros grandes en agua fría. una vez que empieza a hervir el agua se cuenta aproximadamente unos 15 a 20 minutos., 5-luego se cuelan las papas y se les retira del agua. en una olla calentamos la mantequilla y la leche. mientras tanto, usamos el pasa puré o las molemos con algún utensilio adecuado. una vez molidas las papas, agregamos la mezcla caliente de leche y mantequilla, sazonar con sal y pimienta. luego adjuntamos el ají en pasta y el merquén., 6-finalmente servimos un poco de puré y encima un trozo del costillar.",18,duracion Media ,67.8698752228164
15,26,Empanadas de camarón queso,35,10,10,"3 tazas de harina para todo uso, sin polvos de hornear, 1 cucharadita de sal, 1 cucharadita de polvos de hornear, 1/2 taza de leche tibia, 2 cucharadas de manteca derretida, 1/2 taza de agua tibia, 1/2 kilo de camarones crudos, 1/2 kilo de queso mantecoso, aceite vegetal para freír","1-en un bol grande colocar la harina y hacer como un volcán. alrededor colocar la sal, y en el centro los polvos de hornear, la leche tibia y la manteca. unir la masa y de a poco ir agregando el agua tibia. formar una masa suave y elástica que no se pegue en los dedos. amasar lo suficiente para lograr la masa. luego dejar reposar la masa tapada por unos 10 minutos., 2-estirar la masa con un uslero, debe quedar delgada. puede usar platos de entrada para cortar la masa., 3-colocar en el entorno un poco de agua con los dedos, luego colocar en el centro trozos de camarones y queso, debe llevar más queso que camarón., 4-cerrar la empanada, luego darle un doblez y con la ayuda de un tenedor marcar el entorno como se ve en la foto arriba., 5-si desea hornearla, precaliente el horno a 400°f (200°c). pincelar por encima de la empanada con un poco de la mezcla de yema y agua. hornear por 15 minutos., 6-ahora, si desea hacerlas fritas, calentar bien el aceite a fuego medio por unos 5 minutos. luego colocar el fuego bajo e ir friéndose por unos 5 a 6 minutos por lado. colocar sobre bastante papel absorbente.",10,duracion Media ,39.884135472370765
16,27,Empanadas de mariscos,35,8,8,"para la masa:, 3 tazas de harina, 70 grs de manteca derretida, 1 taza de leche tibia, 1 cucharadita de polvos de hornear, 1 cucharadita de sal, para el pino, 2 a 3 cucharadas de aceite maravilla o canola, 2 cebollas picadas en cuadros, 1/2 kilo de surtido de mariscos, 1 cucharadita de ají color (puede reemplazar por paprika), 1 cucharadita de ají en pasta, 1/2 cucharadita de orégano, sal a gusto","1-comenzamos con el pino, ya que este para rellenar las empanadas debe estar frío., 2-freír la cebolla en un sartén con las cucharadas de aceite. este proceso tomará unos 6 minutos aproximadamente, a fuego medio. debe ir revolviendo de vez en cuando., 3-luego agregar el ají color, ají en pasta, orégano y sal., 4-enseguida agregar los mariscos, revolver bien y dejar cocinar unos 3 minutos más., 5-no debe recocer los mariscos ya que el resto de cocción terminará en el horno., 6-retirar del fuego y dejar que se enfríe completamente antes de usar., 7-para preparar la masa, esta debe quedar super manejable y compacta., 8-coloque en un bol la harina y sal, haga un hoyo en el centro y coloque la manteca derretida, mezcle un poco con una cuchara para que no se queme. agregar la leche tibia, mezclar un poco más con la cuchara para luego comenzar a amasar con las manos sobre la mesa. no es necesario agregar más harina, esta mezcla queda buenísima y no debería pegarse en las manos., 9-forme la masa y divídala en 8 porciones, puede hacerlas más pequeñas si las quiere fritas y así tendrá más porciones. forme bolitas iguales, luego con la ayuda de un uslero, estire cada bolita en forma circular., 10-rellenar con el pino. cerrar los bordes de cada empanada como se ve en las fotos., 11-si las va a hornear, precaliente el horno a 400°f (200°c)., 12-pincelar cada empanada con la mezcla de una yema con un poco de agua o leche., 13-hornear por 20 minutos., 14-si las quiere fritas, prepare una olla o sartén hondo con bastante aceite. debe esperar que esté bien caliente. para saber esto puede usar el truco de colocar un fósforo en el aceite y cuando este se prenta es porque el aceita está óptimo para freír., 15-a las empanadas fritas no se les pincela con la mezcla de yema + agua., 16-recuerde dejar las empanadas bien cerradas para que no se les vaya escapar el jugo del pino, sino le va a sarpicar aceite., 17-freír 2 a 3 minutos por lado., 18-servir con pebre.",14,duracion Media ,48.97504456327985
17,29,Empanadas de pino,50,12,12,"500 grs carne de vacuno picado o molida (puede usar asiento, posta rosada o lomo liso), 2 cebollas grandes, 1 cucharada de aceite, 1 cucharadita de sal, 1/2 cucharadita de ají color (reemplazar por paprika), 1/4 cucharadita de orégano, 1/4 cucharadita de pimienta, 1/4 cucharadita de comino, 3 huevos cocidos y cortados en rodajas, 24 aceitunas negras, 1/2 taza de pasas, 1 kilo de harina, 180 grs de manteca, 1 cucharada de sal, 2 tazas de agua a temperatura de ambiente","1-agregue la harina, sal, manteca y el agua poco a poco para ir formando una masa fácil de trabajar., 2-ojo que la manteca no debe derretir. se usa a temperatura de ambiente y se va integrando con las manos o en la mezcladora., 3-una vez lista la masa, estirar con la ayuda de un uslero y cortar círculos de 15 cms de diámetro., 4-precalentar el horno a 200°c (400°f)., 5-en el centro de cada masa poner una o dos cucharadas grandes de pino, una rodaja de huevo, una o dos aceitunas, 2 a 3 pasas., 6-humedecer un borde de la masa para poder cerrarla, luego doblar\xa0 los costados y luego el centro de la empanada., 7-puede pincelar por encima de cada empanada con la mezcla una yema y agua. así le dará un color dorado por encima., 8-hacer un aguajero en el centro de cada empanada con la ayuda de un mondadientes o algo similar., 9-llevar al horno por 20 minutos o hasta que las empanadas estén doradas por encima.",16,duracion Media ,60.87344028520499
18,30,Empolvados chilenos,37,15,15,"5 huevos, 1 taza de harina cernida sin polvos de hornear, 1 taza de azúcar granulada, azúcar flor para espolvorear, manjar (dulce de leche)","1-precalentar el horno a 350°f (180°c), 2-batir las claras un poco, luego comenzar agregar el azúcar. batir hasta que no se sientan los cristales de azúcar., 3-añadir las yemas una a una., 4-luego con una espátula o cuchara integrar la harina de manera envolvente lo necesario para unir., 5-sobre una lata de horno cubierta con papel para hornear se van formando montoncitos de masa, también se puede ayudar con una manga pastelera., 6-hornear por unos 12 minutos aproximadamente o hasta que estén levemente dorados., 7-una vez fríos se pueden pasar cada masa dentro una bolsa ziploc con azúcar flor., 8-se van uniendo de a dos con manjar a gusto.",5,duracion Media ,29.500891265597147
19,31,Ensalada a la chilena,10,2,2,"3 tomates medianos, 1 cebolla cortada en pluma, 1 cucharada de perejil picado, aceite y sal a gusto","1-en esta primera es opcional, pero si no quiere quedar pasado a cebolla es que sugiero blanquear la cebolla por unos minutos en agua caliente. ponga la cebolla cortada en pluma en un pocillo, la cubre con agua caliente por unos minutos, y luego la lava bajo el chorro de agua., 2-cortar los tomates en gajos, o en rodajas, agregar la cebolla, perejil y aliñar con sal y aceite a gusto., 3-déjela reposar unos minutos para que el tomate vaya botando su jugo.",4,duracion Rapida,13.992869875222818
20,34,Flan de manjar,80,8,8,"1 taza de azúcar, 1 tarro de manjar (380 grs), 8 huevos, 1 litro de leche, 1/2 taza de azúcar (extra)","1-en un sartén colocar un poco de azúcar, cuando esta comience a tomar color, ir agregando poco a poco toda la taza de azúcar. a medida que se vaya derritiendo vaya revolviendo el azúcar para que vaya tomando el color caramelo y esto debe cocinarse a fuego medio. una vez listo el caramelo, con mucho cuidado debe esparcirlo sobre un molde de 24 cms. con orificio en el centro, por supuesto puede utilizar de otro tipo molde., 2-ahora comenzamos a preparar el flan mientras dejamos que se enfríe el molde en un lugar seguro., 3-para el flan colocar en un bol batir el manjar e ir incorporando los huevos, la 1/2 taza de azúcar y la leche. luego al momento de traspasar la mezcla al molde utilicen un colador., 4-este molde debe ir sobre otra fuente con agua fría (baño maría)., 5-llevar al horno por 1 hora a 350°f (180°c)., 6-puede dejar enfríar en el horno., 7-el molde debe estar completadamente frío antes de desmoldar., 8-una listo, refrigerar.",5,duracion Larga,50.57932263814617
21,37,Garbanzos con ostiones,35,4,4,"2 frascos o tarros de garbanzos cocidos, 40 ostiones limpios, 1 cebolla picada finamente, 1/2 diente de ajo picado, 1/2 tomate, sin piel y rallado, 1/2 taza de vino blanco, 1 cucharada de ají color, hojas de rúcula, aceite de oliva, sal marina y pimienta","1-en un sartén hacer un sofrito con la cebolla y un chorro de aceite de olive. a los 5 minutos agregar el ajo picado y sofreír a fuego medio para que no se queme., 2-agregar el ají color, revolver y luego agregar el vino y el tomate rallado. cocinar por unos 10 minutos para evaporar el vino., 3-agregar a este sofrito los garbanzos con todo el jugo de la conserva y cocinar unos minutos para que se evapore parte de este jugo. agregar sal y pimienta a gusto., 4-antes de servir, calentar muy bien una sartén con un poco de aceite y, cuando empiece a humear, poner los ostiones y dejar que se doren bien por una cara. esto tomará un poco más de un minuto si la temperatura es suficientemente alta., 5-dar vuelta y dejar un minuto más. agregar sal y pimienta sobre el guiso de los garbanzos agregando el jugo que se pueda recuperar de la sartén. a último momento decorar con unas hojas de rúcula o perejil como lo hice yo.",11,duracion Media ,42.15686274509804
22,39,Hallullas y día de la comida chilena,40,10,10,"3 tazas de harina sin polvos de hornear (420 grs), 1 sobre de levadura en polvo ( 7 grs), 1 cucharadita de azúcar (4 grs), 1 y un poquito más cucharadita de sal (8 grs), 1/2 taza de leche tibia (105°-115°f) (40°-46°c), 1/2 taza de agua tibia (105°-115°f) (40°-46°c), 3 cucharadas de manteca vegetal ( 42 grs) / pueden reemplazar por mantequilla","1-disolver la levadura en un poco de agua tibia la temperatura no debe exceder los (115°f) (46°c)., 2-en un bol colocar la harina con la sal y azúcar., 3-agregar la levadura disuelta, leche, agua y la manteca a temperatura de ambiente (si desea puede derretirla también)., 4-trabajar la masa hasta unir bien todos los ingredientes. dejar reposar la masa unos 20 minutos., 5-luego con la ayuda de un uslero extender la masa, para luego doblarla en dos., 6-de esta forma cortamos círculos de tamaño regular. colocamos estos círculos en una bandeja cubierta con papel de mantequilla (idealmente) y pinchamos la masa con un tenedor. dejamos reposar al menos 1/2 hora., 7-precalentar el horno a 400°f (200°c) y luego horneamos por uno 20 minutos como máximo., 8-*como alternativa si quiere que las hallulas le queden doradas y brillantes, puede mezclar una yema de huevo con un poquito de agua y con un pincel las pinta por encima. este paso es totalmente opcional.",7,duracion Media ,35.51693404634581
23,40,Helado de borgoña,35,6,6,"2 tazas de un buen vino tinto (si es chileno es mejor), 3/4 taza de azúcar granulada, 1 palo de canela (opcional), 1 taza de puré de frutillas (moler las frutillas naturales), 3/4 taza de crema líquida","1-en una olla colocar el vino, azúcar, canela. hervir por unos minutos o hasta que el azúcar se haya disuelto. y si desea retirar el alcohol del vino debe dejarlo hervir al menos por unos 8 a 10 minutos más. o usar la técnica de flambeado, pero esto es recomendado para quienes dominan este paso., 2-dejar que esta mezcla se enfríe y retirar el palo de canela., 3-luego unir la mezcla de vino con el puré de frutillas y crema., 4-se puede proceder a usar la máquina de helado o en el caso que no tenga debe guardar la mezcla en un pote de plástico hermético y llevarlo al congelador. después de 2 horas sacarlo y batir la mezcla por unos minutos, y posteriormente guardarlo en el congelador por un par de horas.",5,duracion Media ,28.5204991087344
